EMBL ID;Phylum;Species
CP000360.1;Acidobacteria;Candidatus_Koribacter_versatilis
CP000473.1;Acidobacteria;Candidatus_Solibacter_usitatus
CP001472.1;Acidobacteria;Acidobacterium_capsulatum
CP002467.1;Acidobacteria;Terriglobus_saanensis
CP002480.1;Acidobacteria;Granulicella_tundricola
CP002514.1;Acidobacteria;Chloracidobacterium_thermophilum
CP003130.1;Acidobacteria;Granulicella_mallensis
CP003379.1;Acidobacteria;Terriglobus_roseus
AE016822.1;Actinobacteria;Leifsonia_xyli
AE016958.1;Actinobacteria;Mycobacterium_avium
AL450380.1;Actinobacteria;Mycobacterium_leprae
AL645882.2;Actinobacteria;Streptomyces_coelicolor
AM408590.1;Actinobacteria;Mycobacterium_tuberculosis
AM711867.1;Actinobacteria;Clavibacter_michiganensis
AM849034.1;Actinobacteria;Clavibacter_sepedonicus
AM942444.1;Actinobacteria;Corynebacterium_urealyticum
AP006618.1;Actinobacteria;Nocardia_farcinica
AP008957.1;Actinobacteria;Rhodococcus_erythropolis
AP009044.1;Actinobacteria;Corynebacterium_glutamicum
AP009256.1;Actinobacteria;Bifidobacterium_adolescentis
AP010889.1;Actinobacteria;Bifidobacterium_longum
AP010918.1;Actinobacteria;Mycobacterium_tuberculosis
AP010968.1;Actinobacteria;Kitasatospora_setae
AP011115.1;Actinobacteria;Rhodococcus_opacus
AP011540.1;Actinobacteria;Rothia_mucilaginosa
AP012057.1;Actinobacteria;Ilumatobacter_coccineus
AP012204.1;Actinobacteria;Microlunatus_phosphovorus
AP012211.1;Actinobacteria;Eggerthella_sp._YY7918
AP012340.1;Actinobacteria;Mycobacterium_tuberculosis
BA000035.2;Actinobacteria;Corynebacterium_efficiens
CM000636.1;Actinobacteria;Mycobacterium_kansasii
CM000789.2;Actinobacteria;Mycobacterium_tuberculosis
CP000088.1;Actinobacteria;Thermobifida_fusca
CP000303.1;Actinobacteria;Bifidobacterium_breve
CP000325.1;Actinobacteria;Mycobacterium_ulcerans
